Indicator Name,Region,Country Code,Country,Year,Sex,Age,Location,Occupation,Value,LowerBound,UpperBound,Unit,NatureData,OriginData,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Southern Asia,50,Bangladesh,2015,Female,35 to 39 years old,-,-,27.1,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Southern Asia,50,Bangladesh,2015,Female,40 to 44 years old,-,-,21.6,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Southern Asia,50,Bangladesh,2015,Female,20 to 24 years old,-,-,35.4,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Southern Asia,50,Bangladesh,2015,Female,45 to 49 years old,-,-,19.7,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Southern Asia,50,Bangladesh,2015,Female,15 to 19 years old,-,-,28.4,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Southern Asia,50,Bangladesh,2015,Female,25 to 29 years old,-,-,32.2,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Southern Asia,356,India,2016,Female,15 to 49 years old,-,-,22,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Southern Asia,356,India,2016,Female,30 to 34 years old,-,-,23,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Southern Asia,356,India,2016,Female,35 to 39 years old,-,-,22.3,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Southern Asia,356,India,2016,Female,40 to 44 years old,-,-,21.6,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Southern Asia,356,India,2016,Female,20 to 24 years old,-,-,23.2,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Southern Asia,356,India,2016,Female,45 to 49 years old,-,-,20,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Southern Asia,356,India,2016,Female,15 to 19 years old,-,-,17.6,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Southern Asia,356,India,2016,Female,25 to 29 years old,-,-,22.5,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Southern Asia,462,Maldives,2006,Female,15 to 49 years old,-,-,6.4,-,-,Percentage,Country data,-,Based on definition used in the WHO multi-country study on women’s health and domestic violence,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Southern Asia,462,Maldives,2006,Female,30 to 34 years old,-,-,4.2,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Southern Asia,462,Maldives,2006,Female,35 to 39 years old,-,-,5.6,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Southern Asia,462,Maldives,2006,Female,40 to 44 years old,-,-,5.9,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Southern Asia,462,Maldives,2006,Female,20 to 24 years old,-,-,6.6,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Southern Asia,462,Maldives,2006,Female,45 to 49 years old,-,-,4.9,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Southern Asia,462,Maldives,2006,Female,15 to 19 years old,-,-,6.6,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Southern Asia,462,Maldives,2006,Female,25 to 29 years old,-,-,9.7,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Southern Asia,524,Nepal,2016,Female,15 to 49 years old,-,-,11.2,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Southern Asia,524,Nepal,2016,Female,30 to 34 years old,-,-,11.4,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Southern Asia,524,Nepal,2016,Female,35 to 39 years old,-,-,11,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Southern Asia,524,Nepal,2016,Female,40 to 44 years old,-,-,7,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Southern Asia,524,Nepal,2016,Female,20 to 24 years old,-,-,12.4,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Southern Asia,524,Nepal,2016,Female,45 to 49 years old,-,-,9.8,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Southern Asia,524,Nepal,2016,Female,15 to 19 years old,-,-,17,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Southern Asia,524,Nepal,2016,Female,25 to 29 years old,-,-,12,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Developed regions,40,Austria,2012,Female,18 to 49 years old,-,-,4,-,-,Percentage,Country adjusted data,-,Women aged 18-74; definition of physical and sexual violence differs from the standard,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Developed regions,56,Belgium,2012,Female,18 to 49 years old,-,-,8,-,-,Percentage,Country data,-,Women aged 18-74; definition of physical and sexual violence differs from the standard,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Developed regions,100,Bulgaria,2012,Female,18 to 49 years old,-,-,9,-,-,Percentage,Country data,-,Women aged 18-74; definition of physical and sexual violence differs from the standard,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Developed regions,191,Croatia,2012,Female,18 to 49 years old,-,-,4,-,-,Percentage,Country data,-,Women aged 18-74; observations based on fewer than 30 responses; definition of physical and sexual violence differs from the standard,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Developed regions,196,Cyprus,2012,Female,18 to 49 years old,-,-,3,-,-,Percentage,Country data,-,Women aged 18-74; observations based on fewer than 30 responses; definition of physical and sexual violence differs from the standard,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Developed regions,203,Czech Republic,2012,Female,18 to 49 years old,-,-,6,-,-,Percentage,Country data,-,Women aged 18-74; definition of physical and sexual violence differs from the standard,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Developed regions,208,Denmark,2012,Female,18 to 49 years old,-,-,7,-,-,Percentage,Country data,-,Women aged 18-74; observations based on fewer than 30 responses; definition of physical and sexual violence differs from the standard,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Developed regions,233,Estonia,2012,Female,18 to 49 years old,-,-,4,-,-,Percentage,Country data,-,Women aged 18-74; observations based on fewer than 30 responses; definition of physical and sexual violence differs from the standard,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Developed regions,246,Finland,2012,Female,18 to 49 years old,-,-,8,-,-,Percentage,Country data,-,Women aged 18-74; definition of physical and sexual violence differs from the standard,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Developed regions,250,France,2012,Female,18 to 49 years old,-,-,7,-,-,Percentage,Country data,-,Women aged 18-74; definition of physical and sexual violence differs from the standard,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Developed regions,276,Germany,2012,Female,18 to 49 years old,-,-,5,-,-,Percentage,Country data,-,Women aged 18-74; definition of physical and sexual violence differs from the standard,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Developed regions,300,Greece,2012,Female,18 to 49 years old,-,-,8,-,-,Percentage,Country data,-,Women aged 18-74; definition of physical and sexual violence differs from the standard,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Developed regions,348,Hungary,2012,Female,18 to 49 years old,-,-,8,-,-,Percentage,Country data,-,Women aged 18-74; definition of physical and sexual violence differs from the standard,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Developed regions,372,Ireland,2012,Female,18 to 49 years old,-,-,4,-,-,Percentage,Country data,-,Women aged 18-74; observations based on fewer than 30 responses; definition of physical and sexual violence differs from the standard,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Developed regions,380,Italy,2012,Female,18 to 49 years old,-,-,7,-,-,Percentage,Country data,-,Women aged 18-74; definition of physical and sexual violence differs from the standard,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Developed regions,428,Latvia,2012,Female,18 to 49 years old,-,-,7,-,-,Percentage,Country data,-,Women aged 18-74; definition of physical and sexual violence differs from the standard,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Developed regions,440,Lithuania,2012,Female,18 to 49 years old,-,-,6,-,-,Percentage,Country data,-,Women aged 18-74; definition of physical and sexual violence differs from the standard,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Developed regions,442,Luxembourg,2012,Female,18 to 49 years old,-,-,3,-,-,Percentage,Country data,-,Women aged 18-74; observations based on fewer than 30 responses; definition of physical and sexual violence differs from the standard,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Developed regions,470,Malta,2012,Female,18 to 49 years old,-,-,5,-,-,Percentage,Country data,-,Women aged 18-74; definition of physical and sexual violence differs from the standard,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Developed regions,498,Republic of Moldova,2005,Female,15 to 49 years old,-,-,14.6,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Developed regions,498,Republic of Moldova,2005,Female,30 to 34 years old,-,-,15.9,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Developed regions,498,Republic of Moldova,2005,Female,35 to 39 years old,-,-,15.2,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Developed regions,498,Republic of Moldova,2005,Female,40 to 44 years old,-,-,12.5,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Developed regions,498,Republic of Moldova,2005,Female,20 to 24 years old,-,-,14.6,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Developed regions,498,Republic of Moldova,2005,Female,45 to 49 years old,-,-,15,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Developed regions,498,Republic of Moldova,2005,Female,15 to 19 years old,-,-,15.1,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Developed regions,498,Republic of Moldova,2005,Female,25 to 29 years old,-,-,14.5,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Developed regions,528,Netherlands,2012,Female,18 to 49 years old,-,-,7,-,-,Percentage,Country data,-,Women aged 18-74; definition of physical and sexual violence differs from the standard,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Developed regions,616,Poland,2012,Female,18 to 49 years old,-,-,3,-,-,Percentage,Country data,-,Women aged 18-74; observations based on fewer than 30 responses; definition of physical and sexual violence differs from the standard,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Developed regions,620,Portugal,2012,Female,18 to 50 years old,-,-,6,-,-,Percentage,Country data,-,Women aged 18-74; definition of physical and sexual violence differs from the standard,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Developed regions,642,Romania,2012,Female,18 to 49 years old,-,-,7,-,-,Percentage,Country data,-,Women aged 18-74; definition of physical and sexual violence differs from the standard,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Developed regions,703,Slovakia,2012,Female,18 to 49 years old,-,-,8,-,-,Percentage,Country data,-,Women aged 18-74; definition of physical and sexual violence differs from the standard,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Developed regions,705,Slovenia,2012,Female,18 to 49 years old,-,-,2,-,-,Percentage,Country data,-,Women aged 18-74; observations based on fewer than 30 responses; definition of physical and sexual violence differs from the standard,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Developed regions,724,Spain,2012,Female,18 to 49 years old,-,-,2,-,-,Percentage,Country data,-,Women aged 18-74; observations based on fewer than 30 responses; definition of physical and sexual violence differs from the standard,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Developed regions,752,Sweden,2012,Female,18 to 49 years old,-,-,6,-,-,Percentage,Country data,-,Women aged 18-74; definition of physical and sexual violence differs from the standard,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Developed regions,804,Ukraine,2007,Female,15 to 49 years old,-,-,10.2,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Developed regions,804,Ukraine,2007,Female,30 to 34 years old,-,-,11.8,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Developed regions,804,Ukraine,2007,Female,35 to 39 years old,-,-,10.3,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Developed regions,804,Ukraine,2007,Female,40 to 44 years old,-,-,10.5,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Developed regions,804,Ukraine,2007,Female,20 to 24 years old,-,-,7,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Developed regions,804,Ukraine,2007,Female,45 to 49 years old,-,-,11.9,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Developed regions,804,Ukraine,2007,Female,15 to 19 years old,-,-,2.4,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Developed regions,804,Ukraine,2007,Female,25 to 29 years old,-,-,7.6,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Developed regions,826,United Kingdom of Great Britain and Northern Ireland,2012,Female,18 to 49 years old,-,-,6,-,-,Percentage,Country data,-,Women aged 18-74; definition of physical and sexual violence differs from the standard,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Northern Africa,818,Egypt,2014,Female,15 to 49 years old,-,-,14,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Northern Africa,818,Egypt,2014,Female,30 to 34 years old,-,-,13.2,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Northern Africa,818,Egypt,2014,Female,35 to 39 years old,-,-,14.3,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Northern Africa,818,Egypt,2014,Female,40 to 44 years old,-,-,10.8,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Northern Africa,818,Egypt,2014,Female,20 to 24 years old,-,-,20.3,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Northern Africa,818,Egypt,2014,Female,45 to 49 years old,-,-,7.5,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Northern Africa,818,Egypt,2014,Female,15 to 19 years old,-,-,16.5,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Northern Africa,818,Egypt,2014,Female,25 to 29 years old,-,-,15.6,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Oceania,90,Solomon Islands,2008,Female,15 to 49 years old,-,-,41.8,-,-,Percentage,Country data,-,Based on definition used in the WHO multi-country study on women’s health and domestic violence,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Oceania,184,Cook Islands,2012,Female,15 to 49 years old,-,-,9.4,-,-,Percentage,Country data,-,Based on definition used in the WHO multi-country study on women’s health and domestic violence; women aged 15-64,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Oceania,184,Cook Islands,2012,Female,30 to 34 years old,-,-,9.9,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Oceania,184,Cook Islands,2012,Female,35 to 39 years old,-,-,9.2,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Oceania,184,Cook Islands,2012,Female,40 to 44 years old,-,-,6.2,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
